participant_id	session_id	dataset_id	rat_strain	rat_sex	rat_weight	rat_age	MRI_vendor	MRI_field_strength	anat_sequence	anat_contrast	anesthesia_temperature	anesthesia_breathing_rate	anesthesia_heart_rate
sub-300100	ses-1	3001	Long Evans	Female	318	10.4	Bruker	9.4	turboRARE	T2w	35.8/36.1/36.2	96/102/102	n/a
sub-300101	ses-1	3001	Long Evans	Female	383	10.4	Bruker	9.4	turboRARE	T2w	36.3/36.3/36.3	108/108/118	n/a
sub-300102	ses-1	3001	Long Evans	Female	279	2.9	Bruker	9.4	turboRARE	T2w	36.9/37.1/37.2	66/71/74	n/a
sub-300103	ses-1	3001	Long Evans	Female	337	2.9	Bruker	9.4	turboRARE	T2w	36.9/36.8/36.8	64/69/75	n/a
sub-300104	ses-1	3001	Long Evans	Female	287	2.9	Bruker	9.4	turboRARE	T2w	36.6/36.6/36.6	50/58/60	n/a
sub-300105	ses-1	3001	Long Evans	Female	311	3	Bruker	9.4	turboRARE	T2w	36.2/36.4/36.5	87/94/97	n/a
sub-300106	ses-1	3001	Long Evans	Female	407	4.5	Bruker	9.4	turboRARE	T2w	37.0/36.9/36.9	112/120/124	n/a
sub-300107	ses-1	3001	Long Evans	Female	350	4.5	Bruker	9.4	turboRARE	T2w	36.7/36.6/36.5	90/99/106	n/a
sub-300108	ses-1	3001	Long Evans	Male	493	3	Bruker	9.4	turboRARE	T2w	34.9/35.3/35.5	102/105/108	n/a
sub-300109	ses-1	3001	Long Evans	Male	517	3	Bruker	9.4	turboRARE	T2w	35.7/35.8/36.0	114/97/100	n/a
sub-300200	ses-1	3002	Wistar	Male	332.7	2	Bruker	7	turboRARE	T2w	37.3/37.5/37.7	70/75/76	n/a
sub-300201	ses-1	3002	Wistar	Male	325	2	Bruker	7	turboRARE	T2w	36.6/36.8/36.8	65/67/68	n/a
sub-300202	ses-1	3002	Wistar	Male	297.8	2	Bruker	7	turboRARE	T2w	36.2/36.5/36.6	61/63/66	n/a
sub-300203	ses-1	3002	Wistar	Male	319.5	2	Bruker	7	turboRARE	T2w	36.1/36.3/36.5	62/67/68	n/a
sub-300204	ses-1	3002	Wistar	Male	354.7	2	Bruker	7	turboRARE	T2w	36.3/36.3/36.3	66/68/70	n/a
sub-300205	ses-1	3002	Wistar	Female	216.6	2	Bruker	7	turboRARE	T2w	36.3/36.4/36.8	56/60/61	n/a
sub-300206	ses-1	3002	Wistar	Female	185	2	Bruker	7	turboRARE	T2w	36.6/36.8/37.0	56/55/56	n/a
sub-300207	ses-1	3002	Wistar	Female	203.6	2	Bruker	7	turboRARE	T2w	36.8/36.8/37.0	59/60/60	n/a
sub-300208	ses-1	3002	Wistar	Female	211.6	2	Bruker	7	turboRARE	T2w	36.8/37.1/37.3	62/64/67	n/a
sub-300209	ses-1	3002	Wistar	Female	201.1	2	Bruker	7	turboRARE	T2w	36.3/36.7/36.8	51/55/55	n/a
sub-300301	ses-1	3003	Wistar	Male	366	2	Clinscan	7	TSE	T2w	35.5	53	n/a
sub-300302	ses-1	3003	Wistar	Male	319	2	Clinscan	7	TSE	T2w	35.6	45	n/a
sub-300303	ses-1	3003	Wistar	Male	338	2	Clinscan	7	TSE	T2w	34.9	42	n/a
sub-300304	ses-1	3003	Wistar	Male	284	2	Clinscan	7	TSE	T2w	35.2	42	n/a
sub-300305	ses-1	3003	Wistar	Female	264	2	Clinscan	7	TSE	T2w	35.1	40	n/a
sub-300306	ses-1	3003	Wistar	Female	227	2	Clinscan	7	TSE	T2w	34.8	32	n/a
sub-300307	ses-1	3003	Wistar	Female	217	2	Clinscan	7	TSE	T2w	35.1	46	n/a
sub-300308	ses-1	3003	Wistar	Female	214	2	Clinscan	7	TSE	T2w	34.7	52	n/a
sub-300309	ses-1	3003	Wistar	Female	223	2	Clinscan	7	TSE	T2w	34.9	50	n/a
sub-300400	ses-1	3004	Fischer 344	Female	173	3	Bruker	9.4	turboRARE	T2w	36.8/36.8/37.1	66/67/72	n/a
sub-300401	ses-1	3004	Fischer 344	Female	165	3	Bruker	9.4	turboRARE	T2w	36.8/37.0/37.3	53/56/56	n/a
sub-300402	ses-1	3004	Fischer 344	Female	157	3	Bruker	9.4	turboRARE	T2w	36.9/36.8/37.1	57/57/59	n/a
sub-300403	ses-1	3004	Fischer 344	Female	162	3	Bruker	9.4	turboRARE	T2w	37.2/37.0/36.8	60/59/59	n/a
sub-300404	ses-1	3004	Fischer 344	Female	159	3	Bruker	9.4	turboRARE	T2w	36.9/37.1/37.4	35/36/37	n/a
sub-300405	ses-1	3004	Fischer 344	Female	168	3	Bruker	9.4	turboRARE	T2w	36.8/36.8/37.4	61/53/60	n/a
sub-300406	ses-1	3004	Fischer 344	Female	154	3	Bruker	9.4	turboRARE	T2w	36.7/36.8/37.5	56/56/61	n/a
sub-300407	ses-1	3004	Fischer 344	Female	162	3	Bruker	9.4	turboRARE	T2w	36.8/37.0/na	31/34/na	n/a
sub-300408	ses-1	3004	Fischer 344	Female	165	3	Bruker	9.4	turboRARE	T2w	37.0/37.1/37.3	48/48/48	n/a
sub-300409	ses-1	3004	Fischer 344	Female	166	3	Bruker	9.4	turboRARE	T2w	36.8/36.8/37.2	48/49/53	n/a
sub-300500	ses-1	3005	Wistar	Female	215	n/a	Bruker	17.2	turboRARE	T2w	36.4	38	n/a
sub-300501	ses-1	3005	Wistar	Male	265	n/a	Bruker	17.2	turboRARE	T2w	36.8	68	n/a
sub-300502	ses-1	3005	Wistar	Male	270	n/a	Bruker	17.2	turboRARE	T2w	36.8	68	n/a
